reading frame: 29.798359 ms	encoding took: 5.345822 ms	streaming took: 0.109954 ms
reading frame: 26.541685 ms	encoding took: 5.699262 ms	streaming took: 0.099619 ms
reading frame: 30.104851 ms	encoding took: 5.273763 ms	streaming took: 0.092628 ms
reading frame: 26.789262 ms	encoding took: 5.553938 ms	streaming took: 0.080177 ms
reading frame: 30.348278 ms	encoding took: 5.453339 ms	streaming took: 0.125908 ms
reading frame: 26.210607 ms	encoding took: 5.380145 ms	streaming took: 0.094216 ms
reading frame: 26.593926 ms	encoding took: 5.565762 ms	streaming took: 0.087152 ms
reading frame: 30.402596 ms	encoding took: 5.544266 ms	streaming took: 0.107050 ms
reading frame: 26.145012 ms	encoding took: 6.187349 ms	streaming took: 0.113373 ms
reading frame: 26.542736 ms	encoding took: 5.958989 ms	streaming took: 0.119850 ms
reading frame: 26.050380 ms	encoding took: 5.818849 ms	streaming took: 0.106446 ms
reading frame: 29.876368 ms	encoding took: 5.681017 ms	streaming took: 0.111079 ms
reading frame: 26.235981 ms	encoding took: 5.607883 ms	streaming took: 0.108889 ms
reading frame: 30.204258 ms	encoding took: 5.611985 ms	streaming took: 0.096138 ms
reading frame: 26.372880 ms	encoding took: 5.786498 ms	streaming took: 0.089946 ms
reading frame: 30.002727 ms	encoding took: 6.023439 ms	streaming took: 0.092305 ms
reading frame: 25.856326 ms	encoding took: 5.742174 ms	streaming took: 0.077272 ms
reading frame: 30.157210 ms	encoding took: 5.574654 ms	streaming took: 0.089974 ms
reading frame: 26.218939 ms	encoding took: 5.807208 ms	streaming took: 0.105647 ms
reading frame: 30.140556 ms	encoding took: 5.625882 ms	streaming took: 0.081127 ms
reading frame: 26.246455 ms	encoding took: 5.480022 ms	streaming took: 0.101989 ms
reading frame: 30.296381 ms	encoding took: 5.393992 ms	streaming took: 0.094526 ms
reading frame: 26.574472 ms	encoding took: 5.488395 ms	streaming took: 0.084853 ms
reading frame: 30.349276 ms	encoding took: 5.399648 ms	streaming took: 0.094585 ms
reading frame: 26.419202 ms	encoding took: 5.428856 ms	streaming took: 0.088166 ms
reading frame: 30.353966 ms	encoding took: 5.387287 ms	streaming took: 0.079520 ms
reading frame: 26.686575 ms	encoding took: 5.478508 ms	streaming took: 0.083454 ms
reading frame: 30.168941 ms	encoding took: 5.235095 ms	streaming took: 0.081182 ms
reading frame: 26.781404 ms	encoding took: 5.374091 ms	streaming took: 0.081374 ms
reading frame: 30.251106 ms	encoding took: 6.123059 ms	streaming took: 0.092852 ms
reading frame: 25.868370 ms	encoding took: 6.937250 ms	streaming took: 0.101068 ms
reading frame: 28.995155 ms	encoding took: 5.289032 ms	streaming took: 0.091870 ms
reading frame: 26.359897 ms	encoding took: 5.131000 ms	streaming took: 0.094524 ms
reading frame: 30.948123 ms	encoding took: 5.036522 ms	streaming took: 0.096481 ms
reading frame: 26.811003 ms	encoding took: 5.439507 ms	streaming took: 0.116245 ms
reading frame: 30.647096 ms	encoding took: 7.340819 ms	streaming took: 0.105188 ms
reading frame: 24.232313 ms	encoding took: 5.871850 ms	streaming took: 0.121796 ms
reading frame: 30.143659 ms	encoding took: 6.958024 ms	streaming took: 0.122832 ms
reading frame: 24.677975 ms	encoding took: 6.365825 ms	streaming took: 0.098018 ms
reading frame: 29.630763 ms	encoding took: 7.247889 ms	streaming took: 0.232336 ms
reading frame: 24.348349 ms	encoding took: 5.582895 ms	streaming took: 0.086230 ms
reading frame: 30.371041 ms	encoding took: 5.502408 ms	streaming took: 0.104369 ms
reading frame: 26.394503 ms	encoding took: 5.379116 ms	streaming took: 0.096677 ms
reading frame: 30.723094 ms	encoding took: 5.447608 ms	streaming took: 0.109766 ms
reading frame: 26.063908 ms	encoding took: 5.542986 ms	streaming took: 0.096695 ms
